University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
South Dakota State University (SDSU),Biology ,"$15,949",0.85,2021-2022,3rd,,"$15,453",$496,,
Harvard University (HU),Business Administration,"$42,660",1.49,2021-2022,,"$42,660",,,,
Texas A&amp;M; University - College Station,Engineering,"$25,200",,2021-2022,4th,"$25,200",,,,
University of Maryland - College Park (UMD),Computer Science PhD,"$41,563",1.37,2022-2023,2nd,,"$27,810","$14,628",$875,"$27,810 is paid in 22 biweekly payments of $1,264 during the Fall and Spring semesters.  You have to pay $312.50 or $605 in mandatory semester fees depending on the number of credits you register for (a higher amount if you register for more than 9 credits). In addition, there is an international student fee of $125 per semester.

Health insurance (medical, prescription, and dental) adds up to about $80 from the biweekly pay. 
---------------------------
[This information is unconfirmed] Summer pay will be $7,314, $12,873, or $14,628 based on the number of hours you work per week (10, 20, 40). There is no health insurance payment during summer.
-------------------------
If you don't know about US tax withholding, please look it up. You may start here at https://smartasset.com/taxes/maryland-paycheck-calculator. "
University of Maryland - College Park (UMD),Computer Science PhD,"$26,935",0.89,2022-2023,2nd,,"$27,810",,$875,"$27,810 is paid in 22 biweekly payments of $1,264 during the Fall and Spring semesters. Health insurance (medical, prescription, and dental) adds up to about $80 from the biweekly pay. 

If you don't know about US tax withholding, please look it up. You may start here at https://smartasset.com/taxes/maryland-paycheck-calculator.

[This information is unconfirmed] Summer pay will be $7,314, $12,873, or $14,628 based on the number of hours you work per week (10, 20, 40). There is no health insurance payment during summer."
Cleveland State University (CSU),counseling psychology,"$8,000",0.40,2022-2023,1st,,"$12,000",,"$4,000",Tuition waiver is contingent on GA and only covers 9 credits. Stipend is not guaranteed. 
University of California - Irvine (UCI),Psychological Science,"$26,999",0.92,2022-2023,2nd,,"$24,000","$3,000",$1,"This is for TA-ships. GSR, Fellowship vary (typically higher)."
University of Pittsburgh,Bioengineering,"$32,940",1.59,2022-2023,3rd,"$33,000",,,$60,
Carnegie Mellon University (CMU),Electrical and Computer Engineering (ECE),"$38,000",1.84,2022-2023,3rd,"$38,400",,,$400,
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$30,000",1.29,2022-2023,1st,"$30,000",,,,
University of Toledo,Environmental Sciences,"$23,500",1.25,2022-2023,5th,"$23,500",,,,Medical insurance and general fees are covered when allowed in grant funded RA positions
Emory University,Chemistry PhD,"$32,717",1.40,2022-2023,3rd,"$34,317",,,"$1,600","Fees listed in annual (Fall, Spring, and Summer semesters)
Parking not included in fees- approximately $350 for the year"
University of Akron,Biology ,"$19,000",0.96,2022-2023,5th,"$21,500",,,"$2,500",No health care provided.
University of Rhode Island (URI),Oceanography,"$33,500",1.47,2022-2023,2nd,"$35,000",,,"$1,500","RA, but distributed unevenly throughout the year. 20,000 for the academic year on a 20 hr/week contract, 15,000 for the summer months in a 40 hr/week contract "
University of Rhode Island (URI),Oceanography,"$33,500",1.47,2022-2023,2nd,"$35,000",,,"$1,500","RA, but distributed unevenly throughout the year. 20,000 for the academic year on a 20 hr/week contract, 15,000 for the summer months in a 40 hr/week contract "
Purdue University - West Lafayette,Agricultural and Biological Engineering,"$22,995",1.09,2022-2023,,"$24,400",,,"$1,405",
University of Pennsylvania,engineering,"$40,000",1.66,2022-2023,,"$40,000",,,,
Washington State University (WSU),School of the Environment,"$24,164",1.28,2020-2021,3rd,"$24,649",,,$485,
Louisiana State University - Baton Rouge,Oceanography and Coastal Sciences,"$22,000",1.01,2019-2020,6th and up,"$24,000",,,"$2,000",
University of Rhode Island (URI),Graduate School of Oceanography,"$31,441",1.38,2022-2023,5th,,"$20,500","$12,341","$1,400",Graduate assistantship includes health insurance and dental. Salary increases ~$300 once passing comprehensive exam. Summer pay compensates for 40hrs/week of work but is not standard across departments at URI. 
University of Alabama (UA),Biological Sciences,"$25,000",1.19,2022-2023,2nd,"$25,000",,,,
University of Southern California (USC),Earth Sciences,"$38,900",1.50,2022-2023,4th,"$39,000",,,$100,
University of Maine ,Engineering ,"$43,200",,2022-2023,1st,"$43,200",,,,Paid 9 credits per semester.  Must work 20 hours at research lab.  
University of North Carolina - Chapel Hill (UNC),Marine Science ,"$24,599",1.11,2022-2023,3rd,"$24,599",,,,
University of Chinese Academy of Sciences,Institute of Geology and Geopbysics,$-900,,2017-2018,4th,"$1,100",,,"$2,000",
Harvard University (HU),Mathematics,,0.00,2022-2023,5th,"$10,000",,,"$10,000",
University of the Witwatersrand ,"Animal, plant, and environmental sciences ","$5,873",,2022-2023,,"$6,991",,,"$1,118",
University of North Carolina - Chapel Hill (UNC),"Earth, Marine and Environmental Sciences","$26,000",1.17,2022-2023,3rd,,"$19,000","$7,000",,
University of Houston (UH),Earth and atmospheric sciences ,"$19,800",0.91,2022-2023,1st,,"$19,800",,,I have to pay around 1500 to compensate my health insurance 
Universite Paul Sabatier,Geology,"$2,800",,2022-2023,1st,"$2,800",,,,
Cornell University (CU),Geological Sciences,"$29,958",1.24,2022-2023,1st,,"$30,000",,$42,
North Carolina State University (NCSU),"Marine, earth and atmospheric sciences ","$15,200",0.67,2022-2023,4th,,"$18,000",,"$2,800",
University of Maryland - College Park (UMD),Geology,"$28,400",0.94,2022-2023,4th,"$30,000",,,"$1,600",
Pennsylvania State University (Penn State),Civil and environmental engineering ,"$28,000",1.25,2022-2023,1st,"$28,000",,,,
Simon Fraser University,Physics,"$42,000",,2022-2023,3rd,"$50,000",,,"$8,000",
Iowa State University (ISU),Geological and Atmospheric Science,"$22,500",1.06,2022-2023,4th,"$24,000",,,"$1,500",
University of Michigan - Ann Arbor (UM),Climate and Space Sciences and Engineering,"$3,007",0.13,2022-2023,1st,"$3,007",,,,"I pay an optional $8 for vision insurance, on top of free base healthcare and dental."
University of Texas - Austin (UT),ECE,"$40,200",1.76,2022-2023,1st,"$40,200",,,,2600/month stipend + 9000/yr fellowship
University of Rhode Island (URI),Graduate School of Oceanography,"$33,000",1.45,2022-2023,5th,"$33,000",,,,
Yale University (YU),Earth and Planetary Sciences,"$39,720",1.61,2022-2023,5th,"$39,720",,,,
Rice University,Earth Science,"$32,400",1.48,2022-2023,5th,"$32,400",,,,
University of Texas - Austin (UT),"Integrative biology- ecology, evolution and behavior","$32,000",1.40,2022-2023,3rd,"$32,000",,,,
Columbia University (CU),Earth and Environmental Sciences,"$44,955",1.51,2022-2023,3rd,"$45,000",,,$45,
University of Wisconsin - Madison (UW),Geoscience,"$28,300",1.24,2022-2023,3rd,"$30,000",,,"$1,700",
University of Texas - Austin (UT),Environmental and Water Resources Engineering,"$34,000",1.49,2022-2023,2nd,"$34,000",,,,NSF NRT Fellowship (INFEWS)
University of California - Santa Barbara (UCSB),IGPMS,"$36,231",1.38,2021-2022,6th and up,"$36,231",,,,
University of Utah,Geology and Geophysics ,"$35,420",1.59,2022-2023,3rd,,"$21,252","$14,168",,9 month pay (0.5 FTE) as a RA. Also get tuition benefit and discounted health insurance ($200-$300 for fall and spring/summer). Advisor is able to pay me for 1.0 FTE in the summer. 
Stanford University (SU),Civil Engineering,"$48,000",1.67,2022-2023,1st,"$48,000",,,,
University of Utah,Geology and Geophysics ,"$35,373",1.59,2022-2023,3rd,,"$21,205","$14,168",,9 month pay (0.5 FTE) as a RA. Also get tuition benefit and discounted health insurance ($200-$300 for fall and spring/summer). Advisor is able to pay me for 1.0 FTE in the summer. 
University of Washington (UW),Atmospheric Sciences,"$45,000",1.93,2022-2023,5th,"$45,000",,,,DOE CSGF fellowship
University of Washington (UW),Atmospheric Sciences,"$41,027",1.76,2022-2023,5th,"$41,804",,,$777,"Student receiving external fellowships get required fees waived, and a bonus fellowship incentive award (not included here)"
University of Vermont (UVM),Plant and Soil Science,"$27,969",1.07,2021-2022,4th,"$30,275",,,"$2,306",
University of Texas - Arlington (UTA),Earth and Environmental Sciences ,"$21,500",0.99,2022-2023,2nd,,"$18,000","$4,500","$1,000",This includes 100% tuition fee waiver for 9 credits/semester
Marquette University,Civil Construction Environment Engineering ,"$26,557",1.24,2022-2023,3rd,"$26,557",,,,
Harvard University (HU),EPS,"$41,975",1.47,2022-2023,3rd,"$42,000",,,$25,
University of Texas - Arlington (UTA),Earth and Environmental Sciences ,"$21,300",0.98,2022-2023,,,"$18,000","$4,500","$1,200",
University of North Dakota (ND),Atmospheric Science,"$29,100",1.51,2022-2023,3rd,"$30,000",,,$900,Fees based on 15 credits/yr. Pay based on successful pass of the written qualification exam.
University of Nebraska - Lincoln (NU),Earth and atmospheric Sciences ,"$19,600",1.01,2021-2022,4th,"$22,800",,,"$3,200",
University of North Dakota (ND),Atmospheric Science,"$27,100",1.41,2022-2023,1st,"$28,000",,,$900,Fees based on 15 credits/yr. 
George Mason University (GMU),"Atmospheric, Oceanic, and Earth Sciences","$22,940",0.76,2022-2023,3rd,,"$23,000",,$60,
University of Idaho (UI),Civil and Environmental Engineering,"$25,000",1.21,2022-2023,2nd,"$25,000",,,,
Florida State University (FSU),"Earth, Ocean & Atmospheric Sciencce","$24,210",1.04,2022-2023,5th,,"$21,060","$5,400","$2,250",Stipends received a (~25%) pay raise for the 2022-2023 school year. The 9 month pay listed reflects this raise. The Summer/Other reflects my pay this past summer (prior to the raise). I am unsure how summer pay will be handled going forward.
Vanderbilt University,Earth and Environmental Sciences ,"$37,940",1.65,2022-2023,5th,"$38,500",,,$560,This includes a $5000 top off award that will end at the end of the academic year
California Institute of Technology (Caltech),Biology and Biological Engineering,"$38,500",1.49,2022-2023,2nd,"$38,500",,,,
California Institute of Technology (Caltech),Biology and Biological Engineering,"$37,000",1.43,2021-2022,1st,"$37,000",,,,
Johns Hopkins University (JHU),Electrical Engineering ,"$35,600",1.38,2022-2023,1st,"$35,600",,,,"All first-year students are given a fellowship which is worth at least, the minimum stipend amount of $35600. This amount is guaranteed for the whole duration of the PhD (On paper, the amount is adjusted yearly for inflation). Apart from the stipend, the tuition, and full health insurance (including dental and vision) are guaranteed for the whole duration of the PhD. TAing can earn you around an additional $3000 per semester."
Bowling Green State University (BGSU),Sociology,"$19,500",1.04,2022-2023,1st,"$21,000",,,"$1,500",School insurance can cost around $1500 for the year
Brandeis University,Chemistry ,"$32,000",1.15,2022-2023,2nd,"$32,000",,,,
University of Kansas (KU),Pharmaceutical Chemistry,"$25,000",1.22,2020-2021,1st,"$25,000",,,,"$400 yearly for campus parking
Health insurance and dental insurance reimbursement 
"
University of South Florida (UCF),Psychology,"$21,200",0.97,2022-2023,6th and up,,"$23,000",,"$1,800",+ Barred from outside work in our contracts. Expected to work 40 hours/week but only paid for 20 hours. 
University of South Florida (UCF),Psychology,$500,0.02,2022-2023,6th and up,,"$2,300",,"$1,800",+ Barred from outside work in our contracts. Expected to work 40 hours/week but only paid for 20 hours. 
University of North Texas (UNT),Clinical Psychology,"$15,462",0.72,2022-2023,1st,,"$15,462",,,entered with a masters which increased the stipend. full tuition coverage is not offered
Georgia Institute of Technology (Georgia Tech),Psychology ,"$31,000",1.33,2022-2023,3rd,"$31,000",,,,
University of Maryland - College Park (UMD),Computer Science ,"$26,850",0.89,2022-2023,2nd,,"$27,500",,$650,
University of Michigan - Ann Arbor (UM),Developmental Psychology,"$29,500",1.28,2021-2022,,"$29,500",,,,
University of Southern Mississippi (USM),Clinical Psychology,"$7,900",0.37,2022-2023,2nd,"$8,000",,,$100,
Dalhousie University ,Psychology and Neuroscience,"$18,000",,2022-2023,2nd,"$24,000",,,"$6,000",
University of Chicago (UC),Public Health Sciences,"$35,700",1.47,2022-2023,1st,"$35,700",,,,"The 2022-23 stipend includes $35,700 plus health insurance and fees. They also gave a one-time $1000 relocation payment."
University of Colorado - Denver (UCD),Cancer Biology,"$34,000",1.52,2022-2023,2nd,"$34,000",,,,
University of Cincinnati (UC),Physics,"$24,475",1.27,2022-2023,2nd,"$25,000",,,$525,All tuition and 75% of health insurance covered. 
Bowling Green State University (BGSU),Communication ,"$12,000",0.64,2022-2023,3rd,,"$16,000",,"$4,000",
University of Washington (UW),Public Health Genetics,"$34,880",1.50,2022-2023,1st,"$35,000",,,$120,
Vanderbilt University,Civil & Environmental Engineering,"$32,400",1.41,2022-2023,3rd,"$32,500",,,$100,"Not including insurance, parking, etc. "
North Carolina State University (NCSU),Computer Science,"$19,292",0.85,2022-2023,1st,,"$23,400",,"$4,108",
Vanderbilt University,biological sciences,"$35,000",1.52,2022-2023,5th,"$35,000",,,,
University of British Columbia,Botany,"$28,300",,2022-2023,1st,"$29,000",,,$700,
UC Berkeley,Metabolics,"$42,000",,2022-2023,2nd,"$42,000",,,,
Florida State University (FSU),Political Science,"$24,000",1.03,2021-2022,1st,"$26,000",,,"$2,000",
University of Washington (UW),Bioengineering,"$37,820",1.62,2022-2023,1st,"$39,420",,,"$1,600",Largely overestimated the required fees. Could be lower.
University of Kentucky (UK),Computer Science,"$25,250",1.24,2022-2023,4th,,"$21,150","$4,700",$600,
Fordham University (FU),Computer Science,"$24,567",0.83,2022-2023,1st,"$26,567",,,"$2,000",
Wayne State University,Physiology,"$27,500",1.32,2019-2020,1st,"$27,500",,,,
Wayne State University,Physiology,"$27,500",1.32,2020-2021,2nd,"$27,500",,,,
Wayne State University,Physiology,"$27,500",1.32,2021-2022,3rd,"$27,500",,,,
Wayne State University,Physiology,"$27,500",1.32,2021-2022,4th,"$27,500",,,,
Wayne State University,Physiology,"$27,500",1.32,2022-2023,4th,"$27,500",,,,
Stony Brook University - SUNY,Physics & Astronomy,"$30,315",1.09,2022-2023,1st,"$30,500",,,$185,"$24,500 for TA (9 months) + $6,000 for RA in the summer. However, you may not get an RA, in which case you get paid $2,500 for half of the summer."
University of Pennsylvania,Bioengineering,"$38,000",1.58,2022-2023,1st,"$38,000",,,,
Bowling Green State University (BGSU),Biology,"$12,900",0.69,2022-2023,2nd,,"$12,500","$2,000","$1,600",M.S student
University of Arizona (U of A),English Literature,"$19,300",0.93,2020-2021,3rd,,"$20,000",,$700,
University of Arizona (U of A),English Literature,"$15,300",0.74,2020-2021,1st,,"$16,000",,$700,
Boston University (BU),Health Services Research,"$38,203",1.33,2022-2023,1st,"$38,203",,,,
Bilkent University,Philosophy / Phd,$500,,2022-2023,2nd,,$250,$250,,
University of California - San Diego (UCSD),Neuroscience ,"$36,000",1.36,2022-2023,1st,"$36,000",,,,
University of Southern California (USC),English,"$36,000",1.39,2022-2023,,,"$36,000",,,"Provost Fellowship: 36k, Regular: 34k. 
USC English is fucking terrible tho lol they literally will not give you any support if you're raped. Sure all these profs have cool scholarship but irl they don't do jack shit"
